name,value,type
Nike Air More Uptempo,105,transaction
Nike Club Joggers BB,55,transaction
Nike Uptempo (Gs) 415082,130,transaction
Nike SportSwear Club Tee,25,transaction
Nike Dry Park VII Junior,39.5,transaction
Nike EV1136-070 KD Trace Sunglasses,39.5,transaction
NIKE Performance Cushion Crew Socks,2.1,transaction
UMYOGO Mens Athletic Walking Blad,18.75,transaction
Adidas 3-Stripes Shorts,18.75,transaction
EMOZU Men 5 Inch Running Shorts,18.75,transaction
BUXKR Men 5 Inch Workout Shorts,36.85,transaction
PUMA Reset V2 Three-Hand Date,9.5,transaction
PUMA unisex adult Evercat Contender Backpack,36.85,transaction
PUMA Men Axelion Perf Running Shoe,2.25,transaction
COKAFIL Mens Running Shoes Athletic,2.25,transaction
Wonesion Womens Walking Running Shoes,2.1,transaction
Lenovo Ideapad 3i 14.0inch FHD Laptop,9.5,transaction
Lenovo IdeaPad 3 Intel i5-1035G1,2.25,transaction
HP Stream 14 inches HD(1366x768) Display,39.75,transaction
Ytonet Laptop Case 15.6 inch TSA,2.25,transaction
Fire 7 tablet 7inch display 16 GB,2.25,transaction
Kid-Proof Case for Fire 7 Tablet,39.5,transaction
Fire TV Stick Lite with Alexa Voice Remote Lite,22.9,transaction
Nike Women's Air Max 270 Running,2,transaction
MITVR Women's Athletic Sport Running Shoes,2.25,transaction
Mens Fashion Athletic Joggers Pants,2,transaction
Nike 835573 Men's Epic Training Pants,2,transaction
DUOYANGJIASHA Women's Comfortable Leather Loafers,18,transaction
Amazon Collection Diamond 3 Stone Pendant Necklace,2.25,transaction
YOHOYO Love Heart Pendant Necklaces Jewelry,18.5,transaction
Redragon S101 Wired Gaming Keyboard and Mouse Combo,22.9,transaction
SteelSeries Apex 3 RGB Gaming Keyboard,9.35,transaction
SteelSeries Rival 600 Gaming Mouse,1.25,transaction
Lenovo IdeaPad Flex 5 14inch,1.55,transaction
Acer Chromebook Spin 311 Convertible Laptop,9.55,transaction
Acer Chromebook Spin 311 Convertible Laptop,48.4,transaction
New Apple AirPods Pro,92.4,transaction
Apple iPhone XR 128GB White,97.5,transaction
Apple MacBook Air Laptop,9.5,transaction
Apple M1 Chip 13inch Retina Display 8GB RAM 256GB SSD Storage,36.85,transaction
Apple 11-inch iPad Pro (Wi-Fi 128GB),2.25,transaction
Apple iMac 27-Inch Desktop,2.25,transaction
HP AIO 27-DP1086QE 27inch FHD Touch/Intel Core i7,2.25,transaction
HP 15.6 FHD IPS Flagship Laptop,2.25,transaction
HP pavilion Business Laptop,1.55,transaction
HP Pavilion x360 Convertible 15.6inch Touchscreen,24.5,transaction
2K Web Camera QHD 90degrees Unltra-Wide-Angle,17.45,transaction
Logitech G920 Driving Force Racing Wheel and Floor Pedals,17.45,transaction
Forty4 Wireless Gaming Controller,9.7,transaction
